,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
325,V274,0,0,0,0,2,0.4
326,V275,0,0,0,0,0,0.0
327,V276,0,1,0,0,0,0.2
328,V277,1,0,13,4,17,7.0
329,V278,2,1,0,0,0,0.6
330,V279,0,71,74,3,55,40.6
331,V280,2,39,28,15,22,21.2
332,V281,0,0,0,0,1,0.2
333,V282,0,23,9,1,21,10.8
334,V283,1,3,15,2,12,6.6
335,V284,0,0,0,3,1,0.8
336,V285,1,26,71,10,72,36.0
337,V286,0,0,5,5,16,5.2
338,V287,8,19,37,29,34,25.4
339,V288,0,2,0,0,0,0.4
340,V289,0,1,1,1,8,2.2
341,V290,0,0,0,0,0,0.0
342,V291,0,11,4,1,4,4.0
343,V292,0,3,5,5,8,4.2
344,V293,0,4,4,8,34,10.0
345,V294,1,4,17,35,62,23.8
346,V295,0,2,4,9,13,5.6
347,V296,0,3,5,11,11,6.0
348,V297,0,0,0,0,0,0.0
349,V298,0,3,20,25,20,13.6
350,V299,0,0,1,1,6,1.6
351,V300,0,0,0,0,0,0.0
352,V301,0,0,0,0,4,0.8
353,V302,0,2,0,0,1,0.6
354,V303,0,0,0,0,0,0.0
355,V304,0,1,0,0,0,0.2
356,V305,0,0,0,0,0,0.0
357,V306,8,53,30,6,71,33.6
358,V307,9,102,128,50,199,97.6
359,V308,25,42,43,46,69,45.0
360,V309,0,0,21,11,16,9.6
361,V310,22,111,97,22,150,80.4
362,V311,0,0,10,9,14,6.6
363,V312,16,42,67,55,113,58.6
364,V313,0,107,75,6,90,55.6
365,V314,0,47,27,23,75,34.4
366,V315,0,9,19,4,60,18.4
367,V316,0,5,1,8,17,6.2
368,V317,3,65,66,52,125,62.2
369,V318,0,3,33,31,34,20.2
370,V319,0,0,0,0,1,0.2
371,V320,0,4,4,19,18,9.0
372,V321,0,0,1,0,3,0.8
373,V322,0,0,0,0,0,0.0
374,V323,0,0,0,0,1,0.2
375,V324,0,1,0,0,1,0.4
376,V325,0,0,0,0,0,0.0
377,V326,0,0,0,0,1,0.2
378,V327,0,0,0,0,0,0.0
379,V328,0,0,0,0,0,0.0
380,V329,0,0,1,0,0,0.2
381,V330,0,0,0,0,0,0.0
382,V331,0,1,0,0,0,0.2
383,V332,0,5,2,0,1,1.6
384,V333,0,0,0,0,1,0.2
385,V334,0,0,0,0,0,0.0
386,V335,0,1,0,0,0,0.2
387,V336,0,1,0,0,1,0.4
388,V337,0,0,0,0,0,0.0
389,V338,0,0,0,1,0,0.2
390,V339,0,0,0,0,1,0.2
391,id_01,0,5,69,30,40,28.8
392,id_02,3,22,40,27,79,34.2
393,id_03,0,0,0,0,3,0.6
394,id_04,0,0,0,0,0,0.0
395,id_05,1,1,41,18,117,35.6
396,id_06,0,85,136,58,146,85.0
397,id_07,0,0,0,0,0,0.0
398,id_08,0,0,0,0,0,0.0
399,id_09,0,3,1,0,3,1.4
400,id_10,0,0,1,1,0,0.4
401,id_11,0,0,2,0,2,0.8
402,id_12,0,0,0,0,0,0.0
403,id_13,0,12,11,5,21,9.8
404,id_14,0,0,10,0,7,3.4
405,id_15,0,1,2,2,4,1.8
406,id_16,0,0,0,0,3,0.6
407,id_17,0,0,4,2,20,5.2
408,id_18,0,0,7,12,28,9.4
409,id_19,16,21,78,12,136,52.6
410,id_20,4,14,25,10,121,34.8
411,id_21,0,0,0,0,0,0.0
412,id_22,0,0,0,0,0,0.0
413,id_23,0,0,0,0,0,0.0
414,id_24,0,0,0,0,0,0.0
415,id_25,0,0,0,0,0,0.0
416,id_26,0,0,0,0,0,0.0
417,id_27,0,0,0,0,0,0.0
418,id_28,0,0,1,0,1,0.4
419,id_29,0,0,0,0,1,0.2
420,id_30,0,0,4,8,48,12.0
421,id_31,8,4,10,4,35,12.2
422,id_32,0,4,59,24,53,28.0
423,id_33,0,4,26,8,46,16.8
424,id_34,0,0,5,0,1,1.2
425,id_35,1,0,0,0,3,0.8
426,id_36,0,0,20,0,4,4.8
427,id_37,0,0,3,2,5,2.0
428,id_38,0,0,3,2,4,1.8
429,DeviceType,0,41,13,27,61,28.4
